Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 16:37:30.000,2024-10-21 23:37:30.000,59850,3,1,P03-S01,216.0,144.0,104.35742033449361,0.8705803388632648,2736706.487124511,11.805930086036016,121.78859919348453,600888.4916884433
2024-10-21 16:37:40.000,2024-10-21 23:37:40.000,59860,3,1,P03-S01,216.0,144.0,103.78796749997616,0.32414198075518,2796143.389149392,11.832693225958517,122.38007285740039,600892.4683457734
2024-10-21 16:39:30.000,2024-10-21 23:39:30.000,59970,4,1,P04-S01,288.0,162.0,256.19594807455485,0.054918930214862494,2825844.761246451,11.734248598454835,75.28311317929709,600877.8826297773
2024-10-21 16:39:40.000,2024-10-21 23:39:40.000,59980,2,0,P02-S00,144.0,36.0,192.36833116469782,0.16859591450602807,2803712.4174872413,-4.4737588453823545,94.00649006941195,600129.1068914598
2024-10-21 16:39:40.000,2024-10-21 23:39:40.000,59980,4,1,P04-S01,288.0,162.0,255.61994498033914,0.5931965090941284,2766646.413590327,11.702657665649806,75.87412794407571,600873.2264615158
2024-10-21 16:39:50.000,2024-10-21 23:39:50.000,59990,2,0,P02-S00,144.0,36.0,191.03479841903587,0.39898905373750415,2778413.8439306105,-4.352700522670366,94.57527824633482,600122.2272108095
2024-10-21 16:39:50.000,2024-10-21 23:39:50.000,59990,4,1,P04-S01,288.0,162.0,255.01830133459964,1.141010232658721,2707706.125358427,11.669678880990437,76.4649967402125,600868.378394763
2024-10-21 16:40:00.000,2024-10-21 23:40:00.000,60000,2,0,P02-S00,144.0,36.0,189.67737820905802,0.619769306508539,2754393.4915493424,-4.231149493465478,95.14387205949515,600115.5079891458
2024-10-21 16:40:00.000,2024-10-21 23:40:00.000,60000,4,1,P04-S01,288.0,162.0,254.38931013228793,1.698816521090553,2649047.340021195,11.635316579893622,77.05571377991107,600863.3407030907
2024-10-21 16:40:10.000,2024-10-21 23:40:10.000,60010,2,0,P02-S00,144.0,36.0,188.29668605322482,0.8303399724052876,2731687.767171554,-4.1091197124220455,95.71227626057401,600108.9523805305
2024-10-21 16:40:10.000,2024-10-21 23:40:10.000,60010,4,1,P04-S01,288.0,162.0,253.73112332836672,2.2670877491422012,2590695.369679733,11.599575275648034,77.64627335489756,600858.1157490145
2024-10-21 16:40:20.000,2024-10-21 23:40:20.000,60020,2,0,P02-S00,144.0,36.0,186.89345694312658,1.0301026773918784,2710332.262716267,-3.986625172339161,96.28049568140138,600102.5634622481
2024-10-21 16:40:20.000,2024-10-21 23:40:20.000,60020,4,1,P04-S01,288.0,162.0,253.04173886307706,2.846310390274873,2532677.581319864,11.562459658344089,78.2366698393076,600852.7059828844
2024-10-21 16:40:30.000,2024-10-21 23:40:30.000,60030,2,0,P02-S00,144.0,36.0,185.46854862121953,1.2184621589337756,2690361.544300325,-3.8636799028641997,96.84853523175421,600096.3442333564
2024-10-21 16:40:30.000,2024-10-21 23:40:30.000,60030,4,1,P04-S01,288.0,162.0,252.31898657417912,3.436982352612341,2475023.602850004,11.523974593766988,78.82689769249943,600847.1139417402
2024-10-21 16:40:40.000,2024-10-21 23:40:40.000,60040,2,0,P02-S00,144.0,36.0,184.02294361798906,1.3948314715889059,2671808.9341172185,-3.7402979692091094,97.41639989714936,600090.2976132864
2024-10-21 16:40:40.000,2024-10-21 23:40:40.000,60040,4,1,P04-S01,288.0,162.0,251.5605129652494,4.039609296320064,2417765.5508247106,11.484125122253563,79.4169514618256,600841.3422481222
2024-10-21 16:40:50.000,2024-10-21 23:40:50.000,60050,2,0,P02-S00,144.0,36.0,182.5577498792441,1.558637550977435,2654706.2875566618,-3.6164934708792167,97.98409473660875,600084.4264404671
2024-10-21 16:40:50.000,2024-10-21 23:40:50.000,60050,4,1,P04-S01,288.0,162.0,250.76376482716583,4.65469967442255,2360938.2818267616,11.442916457513876,80.00682578533808,600835.3936088393
2024-10-21 16:41:00.000,2024-10-21 23:41:00.000,60060,2,0,P02-S00,144.0,36.0,181.0741998319112,1.7093270557562383,2639083.768394825,-3.4922805404142876,98.55162488039844,600078.7334709857
2024-10-21 16:41:00.000,2024-10-21 23:41:00.000,60060,4,1,P04-S01,288.0,162.0,249.9259717513096,5.2827581823339855,2304579.6694927514,11.400353985418262,80.59651539442613,600829.2708137129
2024-10-21 16:41:10.000,2024-10-21 23:41:10.000,60070,2,0,P02-S00,144.0,36.0,179.5736477622758,1.8463723895555562,2624969.625206071,-3.3676733421415888,99.11899552775449,600073.2213772926
2024-10-21 16:41:10.000,2024-10-21 23:41:10.000,60070,4,1,P04-S01,288.0,162.0,249.04412763251415,5.92427723429853,2248730.909104991,11.356443262750906,81.18601511639737,600822.9767342508
2024-10-21 16:41:20.000,2024-10-21 23:41:20.000,60080,2,0,P02-S00,144.0,36.0,178.0575654140569,1.9692777887727282,2612389.9724098113,-3.242686070940638,99.68621194460681,600067.8927469514
2024-10-21 16:41:20.000,2024-10-21 23:41:20.000,60080,4,1,P04-S01,288.0,162.0,248.11497134344194,6.579726006666933,2193436.8515023557,11.311190015930627,81.77531987701144,600816.5143223293
2024-10-21 16:41:30.000,2024-10-21 23:41:30.000,60090,2,0,P02-S00,144.0,36.0,176.52753575457126,2.0775853487033347,2601368.5795525834,-3.1173329510193852,100.25327946125734,600062.7500814172
2024-10-21 16:41:30.000,2024-10-21 23:41:30.000,60090,4,1,P04-S01,288.0,162.0,247.13496687769646,7.249536498109802,2138746.3677438106,11.264600139699944,82.36442470292012,600809.8866087757
